epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.596,1.75947,4.47639,1.96537,0,0,0,0,1.22085,4.0842,1.66622,8.16327e-05,8.16327e-05,8.16327e-05
2,11.9525,1.27828,4.23876,1.55262,0.03771,0.18519,0.06671,0.02968,1.19617,3.95496,1.61276,0.000164803,0.000164803,0.000164803
3,15.3476,1.12228,3.99442,1.40784,0.02897,0.19753,0.07986,0.03721,1.23407,4.05429,1.72033,0.000247808,0.000247808,0.000247808
4,18.6889,1.08258,3.83862,1.3994,0.04107,0.40123,0.10268,0.04966,0.97456,3.87261,1.46303,0.000249258,0.000249258,0.000249258
5,22.0295,1.05381,3.6945,1.393,0.02755,0.62963,0.11838,0.05751,0.9883,3.75971,1.44018,0.00024901,0.00024901,0.00024901
6,25.4433,1.02976,3.57582,1.39099,0.02444,0.77778,0.11733,0.05364,0.9738,3.68011,1.44267,0.000248762,0.000248762,0.000248762
7,28.7508,0.99661,3.45201,1.38699,0.03585,0.78395,0.13236,0.05984,0.92883,3.66471,1.40932,0.000248515,0.000248515,0.000248515
8,32.0811,0.99964,3.35067,1.39648,0.04992,0.7963,0.15773,0.09213,0.95698,3.58421,1.45345,0.000248267,0.000248267,0.000248267
9,35.4818,0.99336,3.24882,1.39947,0.03404,0.90741,0.1812,0.11558,0.93389,3.37731,1.46465,0.00024802,0.00024802,0.00024802
10,38.8472,0.98528,3.16486,1.40605,0.03714,0.87037,0.18481,0.11665,0.92924,3.40414,1.39329,0.000247773,0.000247773,0.000247773
11,42.1875,0.9806,3.08964,1.39263,0.04022,0.92593,0.20551,0.12583,0.92714,3.3039,1.37004,0.000247525,0.000247525,0.000247525
12,45.5483,0.95221,2.9865,1.3783,0.04218,1,0.23313,0.1557,1.07065,3.22328,1.47313,0.000247278,0.000247278,0.000247278
13,48.9496,0.95704,2.93847,1.36951,0.22475,0.27411,0.23013,0.14993,0.95372,3.04483,1.39751,0.00024703,0.00024703,0.00024703
14,52.2435,0.9481,2.85765,1.36971,0.42706,0.27969,0.28607,0.20573,0.91862,2.98662,1.4111,0.000246782,0.000246782,0.000246782
15,55.5887,0.94841,2.80859,1.3658,0.22198,0.2812,0.24698,0.17574,0.94518,2.92065,1.41909,0.000246535,0.000246535,0.000246535
16,58.9142,0.95544,2.76752,1.36637,0.30563,0.21692,0.28083,0.2084,0.95953,2.77633,1.44542,0.000246287,0.000246287,0.000246287
17,62.2773,0.93538,2.71266,1.35002,0.41317,0.27761,0.29118,0.20418,1.03156,2.9427,1.47845,0.00024604,0.00024604,0.00024604
18,65.5693,0.93687,2.66191,1.34468,0.25909,0.23437,0.26567,0.19724,0.94858,2.79395,1.43194,0.000245793,0.000245793,0.000245793
19,68.8856,0.92408,2.62874,1.34021,0.32297,0.33228,0.33855,0.23368,1.03799,2.82353,1.57064,0.000245545,0.000245545,0.000245545
20,72.2379,0.90509,2.56019,1.31776,0.29703,0.41652,0.34172,0.26513,0.9399,2.7118,1.4679,0.000245298,0.000245298,0.000245298
21,75.6643,0.92385,2.52061,1.33006,0.44553,0.44405,0.43835,0.32216,0.89517,2.5651,1.43574,0.00024505,0.00024505,0.00024505
22,79.0438,0.90321,2.47951,1.31764,0.38763,0.45713,0.47413,0.34694,0.916,2.62911,1.43393,0.000244803,0.000244803,0.000244803
23,82.4459,0.90956,2.43895,1.32473,0.36314,0.48684,0.43186,0.33395,0.87312,2.60462,1.44586,0.000244555,0.000244555,0.000244555
24,85.7742,0.90132,2.40809,1.32347,0.41146,0.55453,0.52498,0.39174,0.96963,2.50132,1.46497,0.000244307,0.000244307,0.000244307
25,89.1354,0.89524,2.34048,1.31006,0.3674,0.48875,0.46124,0.35504,0.85556,2.5377,1.3879,0.00024406,0.00024406,0.00024406
26,92.4784,0.90404,2.30665,1.32319,0.49923,0.42338,0.47701,0.35586,0.90154,2.50587,1.48422,0.000243812,0.000243812,0.000243812
27,95.8063,0.88902,2.2676,1.32122,0.51208,0.52794,0.50802,0.39094,0.86854,2.44783,1.42034,0.000243565,0.000243565,0.000243565
28,99.1175,0.86818,2.22703,1.29896,0.53228,0.52316,0.57506,0.43292,0.9183,2.36883,1.45418,0.000243318,0.000243318,0.000243318
29,102.437,0.89023,2.22246,1.31687,0.41826,0.46577,0.44549,0.34396,0.89912,2.52961,1.38904,0.00024307,0.00024307,0.00024307
30,105.775,0.86046,2.16096,1.30344,0.38842,0.49609,0.54275,0.40231,0.90449,2.34136,1.44381,0.000242822,0.000242822,0.000242822
31,109.067,0.8717,2.16174,1.29448,0.45482,0.52788,0.58255,0.44385,0.89723,2.2046,1.41361,0.000242575,0.000242575,0.000242575
32,112.415,0.85223,2.09301,1.28345,0.3758,0.57145,0.59461,0.44602,0.9168,2.21076,1.48013,0.000242328,0.000242328,0.000242328
33,115.78,0.84855,2.0718,1.28916,0.42075,0.56038,0.58647,0.42894,0.95347,2.19223,1.50253,0.00024208,0.00024208,0.00024208
34,119.078,0.86479,2.06055,1.29889,0.47064,0.52172,0.58457,0.43881,0.8721,2.14562,1.4277,0.000241833,0.000241833,0.000241833
35,122.333,0.86453,2.02994,1.29422,0.44077,0.50819,0.55442,0.36859,1.00827,2.31668,1.54265,0.000241585,0.000241585,0.000241585
36,125.694,0.85029,2.00379,1.29401,0.45166,0.56101,0.58832,0.43312,0.88339,2.25446,1.43214,0.000241337,0.000241337,0.000241337
37,129.069,0.84374,1.95024,1.28796,0.4357,0.62467,0.58662,0.44115,0.92864,2.22722,1.48147,0.00024109,0.00024109,0.00024109
38,132.361,0.83207,1.91166,1.27788,0.56552,0.54517,0.6228,0.48968,0.89364,2.15281,1.43109,0.000240842,0.000240842,0.000240842
39,135.755,0.82346,1.88259,1.26942,0.52717,0.60325,0.60843,0.48504,0.85498,1.99613,1.40958,0.000240595,0.000240595,0.000240595
40,138.976,0.83161,1.86288,1.28826,0.63515,0.4659,0.58016,0.44025,0.9576,2.00452,1.51415,0.000240348,0.000240348,0.000240348
41,142.268,0.82609,1.83023,1.27615,0.50544,0.62617,0.60469,0.49091,0.84203,2.08816,1.41934,0.0002401,0.0002401,0.0002401
42,145.554,0.84398,1.83953,1.28551,0.68138,0.51441,0.62584,0.51255,0.82747,2.06949,1.36882,0.000239853,0.000239853,0.000239853
43,148.901,0.83294,1.80174,1.27608,0.55934,0.53761,0.63948,0.5195,0.84352,1.99682,1.40416,0.000239605,0.000239605,0.000239605
